Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance,Driver
39:44.6,0,91.644299,1002.270355,-0.096161,-0.666275,-0.775711,1.027082,32.862177,-117.233938,14.188004,44.153326,70.778152,0,Naazneen
39:44.7,0,91.644299,1002.270355,-0.161819,-0.589417,-0.753754,0.970434,32.862177,-117.233938,11.792647,43.570729,72.737686,0,Naazneen
39:44.8,0,91.644299,1002.270355,-0.128845,-0.644745,-0.7621,1.006526,32.862177,-117.233938,9.19204,42.775763,72.10553,0,Naazneen
39:44.9,0,91.644299,1002.270355,-0.137344,-0.596634,-0.761185,0.976851,32.862177,-117.233938,7.968587,42.172942,70.872314,0,Naazneen
39:45.0,0,91.644299,1002.270355,-0.10495,-0.651398,-0.790695,1.029822,32.862177,-117.233938,6.600916,41.515462,73.190483,0,Naazneen
39:45.1,0,91.654125,1002.270355,-0.118835,-0.61618,-0.754623,0.981456,32.862177,-117.233938,5.265783,40.858181,72.187241,0,Naazneen
39:45.2,0,91.654125,1002.270355,-0.145142,-0.613144,-0.754364,0.982892,32.862177,-117.233938,2.813238,39.251762,70.557083,0,Naazneen
39:45.3,0,91.654125,1002.270355,-0.146118,-0.662109,-0.730652,0.996791,32.862177,-117.233938,1.599507,38.305693,71.302483,0,Naazneen
39:45.4,0,91.654125,1002.270355,-0.106232,-0.684494,-0.801361,1.059244,32.862177,-117.233938,0.34632,37.703408,69.737206,0,Naazneen
39:45.5,0,91.654125,1002.270355,-0.099777,-0.662277,-0.782379,1.029895,32.862177,-117.233938,359.269073,36.786225,68.137772,0,Naazneen
39:45.6,0,91.654125,1002.270355,-0.100815,-0.666565,-0.750671,1.00895,32.862177,-117.233938,356.71521,35.863287,71.619354,0,Naazneen
39:45.7,0,91.654125,1002.270355,-0.152878,-0.606049,-0.695923,0.935401,32.862177,-117.233938,354.096588,34.885148,74.569252,0,Naazneen
39:45.8,0,91.654125,1002.270355,-0.041,-0.752991,-0.75238,1.065248,32.862177,-117.233938,351.307098,33.607537,72.157227,0,Naazneen
39:45.9,0,91.654125,1002.270355,-0.089798,-0.681534,-0.71228,0.989897,32.862177,-117.233938,348.609131,32.390479,70.047424,0,Naazneen
39:46.0,0,91.654125,1002.270355,-0.115204,-0.688354,-0.751648,1.025709,32.862177,-117.233938,345.136505,31.812768,70.029465,0,Naazneen
39:46.1,0,91.649181,1002.270355,-0.026367,-0.708084,-0.739716,1.024333,32.862177,-117.233938,341.484009,30.819778,73.356293,0,Naazneen
39:46.2,0,91.649181,1002.270355,-0.105682,-0.617859,-0.742081,0.971392,32.862177,-117.233938,338.165955,29.96795,72.345367,0,Naazneen
39:46.3,0,91.649181,1002.270355,-0.098999,-0.659256,-0.779022,1.025327,32.862177,-117.233938,334.888092,29.486124,73.815826,0,Naazneen
39:46.4,0,91.649181,1002.270355,-0.162399,-0.636841,-0.745605,0.993915,32.862177,-117.233938,331.21524,29.618937,74.874016,0,Naazneen
39:46.5,0,91.649181,1002.270355,-0.124832,-0.657333,-0.804001,1.045986,32.862177,-117.233938,327.433228,28.615064,73.449753,0,Naazneen
39:46.6,0,91.649181,1002.270355,-0.109695,-0.650726,-0.746582,0.996425,32.862177,-117.233938,323.062408,28.646037,73.935791,0,Naazneen
39:46.7,0,91.649181,1002.270355,-0.127884,-0.643631,-0.801224,1.035652,32.862177,-117.233938,320.116577,28.498459,77.634155,0,Naazneen
39:46.8,0,91.649181,1002.270355,-0.173706,-0.537506,-0.728027,0.921472,32.862177,-117.233938,315.310638,28.731621,78.461937,0,Naazneen
39:46.9,0,91.649181,1002.270355,-0.209671,-0.597107,-0.787354,1.01016,32.862177,-117.233938,311.082886,29.096664,79.107437,0,Naazneen
39:47.0,0,91.649181,1002.270355,-0.404007,-0.588699,-0.819305,1.086761,32.862177,-117.233938,305.650818,29.583394,79.964729,0,Naazneen
39:47.1,0,91.296215,1002.270355,-0.121216,-0.528168,-0.828842,0.99027,32.862177,-117.233938,304.517578,29.450962,78.080513,0,Naazneen
39:47.2,0,91.296215,1002.2715,-0.208786,-0.59375,-0.858063,1.064144,32.862177,-117.233938,299.66925,28.716278,79.017288,0,Naazneen
39:47.3,0,91.296215,1002.2715,-0.3461,-0.463715,-0.831848,1.013305,32.862177,-117.233938,294.545288,28.928344,77.924446,0,Naazneen
39:47.4,0,91.296215,1002.2715,-0.211319,-0.533157,-0.957474,1.116095,32.862177,-117.233938,294.545288,28.928344,77.379883,0,Naazneen
39:47.5,0,91.296215,1002.2715,-0.280106,-0.50145,-0.776306,0.965693,32.862177,-117.233938,293.516663,29.671125,75.73806,0,Naazneen
39:47.6,0,91.296215,1002.2715,-0.252151,-0.401154,-0.842667,0.966743,32.862177,-117.233938,292.418121,29.732323,78.650253,0,Naazneen
39:47.7,0,91.296215,1002.2715,-0.375046,-0.570145,-0.800674,1.052047,32.862177,-117.233938,289.706848,29.9137,77.658585,0,Naazneen
39:47.8,0,91.296215,1002.2715,-0.352203,-0.358444,-0.664398,0.833039,32.862177,-117.233938,289.706848,29.9137,78.367607,0,Naazneen
39:47.9,0,91.296215,1002.2715,-0.40506,-0.471237,-0.736191,0.963387,32.862177,-117.233938,288.647156,30.056977,76.219147,0,Naazneen
