,Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance,Driver,outlier
206625,37:26.7,14.72,123.57001499999998,0.0,0.075623,-0.834976,-0.213486,0.8651469999999999,32.817817,-117.154831,322.901825,43.685154,0.0,0.06514,Zhisen,True
206626,37:26.7,14.72,123.57001499999998,0.0,0.075623,-0.834976,-0.213486,0.8651469999999999,32.817817,-117.154831,322.901825,43.685154,0.0,0.06514,Zhisen,True
206752,37:39.3,11.03,123.269051,0.0,0.011414,-1.130356,-0.259552,1.159828,32.81935,-117.154982,319.756683,44.930375,0.0,0.06514,Zhisen,True
206753,37:39.4,11.03,123.269051,0.0,0.011414,-1.130356,-0.259552,1.159828,32.81935,-117.154982,319.756683,44.930375,0.0,0.06514,Zhisen,True
206902,37:55.0,11.96,124.580269,0.0,-0.224365,-0.102036,0.033081,0.248687,32.820425,-117.155054,318.52578700000004,43.751436,0.0,0.06514,Zhisen,True
206903,37:55.0,11.96,124.580269,0.0,-0.15104700000000001,-1.185196,-0.008362,1.194811,32.820425,-117.155054,318.52578700000004,43.751436,0.0,0.06514,Zhisen,True
206904,37:55.2,11.96,124.580269,0.0,-0.19181800000000002,-1.162643,0.10790999999999999,1.183291,32.820425,-117.155054,318.52578700000004,43.751436,0.0,0.06514,Zhisen,True
206913,37:56.0,12.15,124.36426499999999,0.0,-0.211029,-1.402786,0.067764,1.420188,32.820531,-117.155064,318.52578700000004,43.751436,0.0,0.06514,Zhisen,True
206914,37:56.1,12.15,124.36426499999999,0.0,-0.011398,-0.543198,-0.078323,0.548934,32.820531,-117.155064,318.52578700000004,43.751436,0.0,0.06514,Zhisen,True
206915,37:56.3,12.15,124.36426499999999,0.0,-0.011398,-0.543198,-0.078323,0.548934,32.820531,-117.155064,319.690674,43.541219,0.0,0.06514,Zhisen,True
206916,37:56.3,12.42,124.025276,0.0,-0.427704,-1.426208,-0.037491000000000003,1.4894319999999999,32.820645,-117.155073,319.690674,43.541219,0.0,0.06514,Zhisen,True
206924,37:57.1,12.55,123.90601299999999,0.0,-0.192734,-1.133148,0.011932,1.149484,32.820757,-117.15508,320.74054,43.785187,0.0,0.06514,Zhisen,True
206925,37:57.2,12.55,123.90601299999999,0.0,0.090408,-0.503128,-0.437698,0.672972,32.820757,-117.15508,320.74054,43.785187,0.0,0.06514,Zhisen,True
