Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance
32:08.8,0,17.400948,1013.991623,0.139297,-0.95076,-0.293701,1.004793,32.718664,-117.163893,221.981918,53.807978,0,0
32:08.9,0,17.400948,1013.991623,0.137543,-0.954529,-0.299271,1.009755,32.718664,-117.163893,221.981918,53.807978,0,0
32:09.0,0,17.400948,1013.993988,0.140823,-0.949127,-0.29483,1.003792,32.718664,-117.163893,220.972794,54.081065,0,0
32:09.1,0,17.539406,1013.993988,0.140884,-0.952957,-0.297577,1.00823,32.718664,-117.163893,220.972794,54.081065,0,0
32:09.2,0,17.539406,1013.993988,0.140778,-0.945847,-0.306351,1.004139,32.718664,-117.163893,219.898651,53.933424,0,0
32:09.3,0,17.539406,1013.993988,0.140411,-0.945038,-0.320328,1.007681,32.718664,-117.163893,218.881775,54.100597,0,0
32:09.4,0,17.539406,1013.993988,0.139023,-0.944641,-0.322968,1.007959,32.718664,-117.163893,218.881775,54.100597,0,0
32:09.5,0,17.539406,1013.993988,0.139954,-0.941238,-0.32666,1.006093,32.718664,-117.163893,217.765381,54.034808,0,0
32:09.6,0,17.539406,1013.993988,0.139694,-0.939621,-0.331726,1.006203,32.718664,-117.163893,217.765381,54.034808,0,0
32:09.7,0,17.539406,1013.993988,0.138962,-0.94249,-0.333954,1.009516,32.718664,-117.163893,216.722946,53.936188,0,0
32:09.8,0,17.539406,1013.993988,0.137192,-0.939011,-0.338608,1.00758,32.718664,-117.163893,216.722946,53.936188,0,0
32:09.9,0,17.539406,1013.993988,0.137558,-0.938339,-0.341721,1.008055,32.718664,-117.163893,215.699615,54.583603,0,0
32:10.0,0,17.539406,1013.99971,0.140884,-0.938446,-0.339737,1.007944,32.718664,-117.163893,215.699615,54.583603,0,0
32:10.1,0,17.716713,1013.99971,0.140198,-0.940552,-0.337097,1.008924,32.718698,-117.163833,215.699615,54.583603,0,0
32:10.2,0,17.716713,1013.99971,0.139374,-0.940155,-0.332626,1.006954,32.718698,-117.163833,215.699615,54.583603,0,0
32:10.3,0,17.716713,1013.99971,0.138306,-0.939941,-0.332764,1.006653,32.718698,-117.163833,215.699615,54.583603,0,0
32:10.4,0,17.716713,1013.99971,0.139786,-0.939331,-0.332657,1.006252,32.718698,-117.163833,215.699615,54.583603,0,0
32:10.5,0,17.716713,1013.99971,0.138046,-0.93721,-0.335526,1.004986,32.718698,-117.163833,215.699615,54.583603,0,0
32:10.6,0,17.716713,1013.99971,0.140869,-0.937439,-0.33757,1.006275,32.718698,-117.163833,215.699615,54.583603,0,0
32:10.7,0,17.716713,1013.99971,0.140366,-0.938599,-0.337128,1.007137,32.718698,-117.163833,214.61615,54.277832,0,0
32:10.8,0,17.716713,1013.99971,0.135345,-0.939316,-0.332474,1.00557,32.718698,-117.163833,214.61615,54.277832,0,0
32:10.9,0,17.716713,1014.000397,0.137634,-0.942017,-0.334412,1.009044,32.718698,-117.163833,213.590149,54.586554,0,0
